frame_num,is_drowsy,left_eye_closed,right_eye_closed,continuous_time,error_code
229,-1,False,False,0.0,LOW_FACE_CONFIDENCE
230,-1,False,False,0.0,LOW_FACE_CONFIDENCE
231,-1,False,False,0.0,LOW_FACE_CONFIDENCE
232,-1,False,False,0.0,LOW_FACE_CONFIDENCE
233,-1,False,False,0.0,LOW_FACE_CONFIDENCE
234,-1,False,False,0.0,LOW_FACE_CONFIDENCE
235,-1,False,False,0.0,LOW_FACE_CONFIDENCE
236,-1,False,False,0.0,LOW_FACE_CONFIDENCE
237,-1,False,False,0.0,LOW_FACE_CONFIDENCE
238,-1,False,False,0.0,LOW_FACE_CONFIDENCE
239,-1,False,False,0.0,LOW_FACE_CONFIDENCE
240,-1,False,False,0.0,LOW_FACE_CONFIDENCE
241,-1,False,False,0.0,LOW_FACE_CONFIDENCE
242,-1,False,False,0.0,LOW_FACE_CONFIDENCE
243,-1,False,False,0.0,LOW_FACE_CONFIDENCE
244,-1,False,False,0.0,LOW_FACE_CONFIDENCE
245,-1,False,False,0.0,LOW_FACE_CONFIDENCE
246,-1,False,False,0.0,LOW_FACE_CONFIDENCE
247,-1,False,False,0.0,LOW_FACE_CONFIDENCE
248,-1,False,False,0.0,LOW_FACE_CONFIDENCE
249,-1,False,False,0.0,LOW_FACE_CONFIDENCE
250,-1,False,False,0.0,LOW_FACE_CONFIDENCE
251,-1,False,False,0.0,LOW_FACE_CONFIDENCE
252,-1,False,False,0.0,LOW_FACE_CONFIDENCE
253,-1,False,False,0.0,LOW_FACE_CONFIDENCE
254,-1,False,False,0.0,LOW_FACE_CONFIDENCE
255,-1,False,False,0.0,LOW_FACE_CONFIDENCE
256,-1,False,False,0.0,LOW_FACE_CONFIDENCE
257,-1,False,False,0.0,LOW_FACE_CONFIDENCE
258,-1,False,False,0.0,LOW_FACE_CONFIDENCE
259,-1,False,False,0.0,LOW_FACE_CONFIDENCE
260,-1,False,False,0.0,LOW_FACE_CONFIDENCE
261,-1,False,False,0.0,LOW_FACE_CONFIDENCE
262,-1,False,False,0.0,LOW_FACE_CONFIDENCE
263,-1,False,False,0.0,LOW_FACE_CONFIDENCE
264,-1,False,False,0.0,LOW_FACE_CONFIDENCE
265,-1,False,False,0.0,LOW_FACE_CONFIDENCE
266,-1,False,False,0.0,LOW_FACE_CONFIDENCE
267,-1,False,False,0.0,LOW_FACE_CONFIDENCE
268,-1,False,False,0.0,LOW_FACE_CONFIDENCE
269,-1,False,False,0.0,LOW_FACE_CONFIDENCE
270,-1,False,False,0.0,LOW_FACE_CONFIDENCE
271,-1,False,False,0.0,LOW_FACE_CONFIDENCE
272,-1,False,False,0.0,LOW_FACE_CONFIDENCE
273,-1,False,False,0.0,LOW_FACE_CONFIDENCE
274,-1,False,False,0.0,LOW_FACE_CONFIDENCE
275,-1,False,False,0.0,LOW_FACE_CONFIDENCE
276,-1,False,False,0.0,LOW_FACE_CONFIDENCE
277,-1,False,False,0.0,LOW_FACE_CONFIDENCE
278,-1,False,False,0.0,LOW_FACE_CONFIDENCE
279,-1,False,False,0.0,LOW_FACE_CONFIDENCE
280,-1,False,False,0.0,LOW_FACE_CONFIDENCE
281,-1,False,False,0.0,LOW_FACE_CONFIDENCE
282,-1,False,False,0.0,LOW_FACE_CONFIDENCE
283,-1,False,False,0.0,LOW_FACE_CONFIDENCE
284,-1,False,False,0.0,LOW_FACE_CONFIDENCE
285,-1,False,False,0.0,LOW_FACE_CONFIDENCE
286,-1,False,False,0.0,LOW_FACE_CONFIDENCE
287,-1,False,False,0.0,LOW_FACE_CONFIDENCE
288,-1,False,False,0.0,LOW_FACE_CONFIDENCE
289,-1,False,False,0.0,LOW_FACE_CONFIDENCE
290,-1,False,False,0.0,LOW_FACE_CONFIDENCE
291,-1,False,False,0.0,LOW_FACE_CONFIDENCE
292,-1,False,False,0.0,LOW_FACE_CONFIDENCE
293,-1,False,False,0.0,LOW_FACE_CONFIDENCE
294,-1,False,False,0.0,LOW_FACE_CONFIDENCE
295,-1,False,False,0.0,LOW_FACE_CONFIDENCE
296,-1,False,False,0.0,LOW_FACE_CONFIDENCE
297,-1,False,False,0.0,LOW_FACE_CONFIDENCE
298,-1,False,False,0.0,LOW_FACE_CONFIDENCE
299,-1,False,False,0.0,LOW_FACE_CONFIDENCE
300,-1,False,False,0.0,LOW_FACE_CONFIDENCE
301,-1,False,False,0.0,LOW_FACE_CONFIDENCE
302,-1,False,False,0.0,LOW_FACE_CONFIDENCE
303,-1,False,False,0.0,LOW_FACE_CONFIDENCE
304,-1,False,False,0.0,LOW_FACE_CONFIDENCE
305,-1,False,False,0.0,LOW_FACE_CONFIDENCE
306,-1,False,False,0.0,LOW_FACE_CONFIDENCE
307,-1,False,False,0.0,LOW_FACE_CONFIDENCE
308,-1,False,False,0.0,LOW_FACE_CONFIDENCE
309,-1,False,False,0.0,LOW_FACE_CONFIDENCE
310,-1,False,False,0.0,LOW_FACE_CONFIDENCE
311,-1,False,False,0.0,LOW_FACE_CONFIDENCE
312,-1,False,False,0.0,LOW_FACE_CONFIDENCE
313,-1,False,False,0.0,LOW_FACE_CONFIDENCE
314,-1,False,False,0.0,LOW_FACE_CONFIDENCE
315,-1,False,False,0.0,LOW_FACE_CONFIDENCE
316,-1,False,False,0.0,LOW_FACE_CONFIDENCE
317,-1,False,False,0.0,LOW_FACE_CONFIDENCE
318,-1,False,False,0.0,LOW_FACE_CONFIDENCE
319,-1,False,False,0.0,LOW_FACE_CONFIDENCE
320,-1,False,False,0.0,LOW_FACE_CONFIDENCE
321,-1,False,False,0.0,LOW_FACE_CONFIDENCE
322,-1,False,False,0.0,LOW_FACE_CONFIDENCE
323,-1,False,False,0.0,LOW_FACE_CONFIDENCE
324,-1,False,False,0.0,LOW_FACE_CONFIDENCE
325,-1,False,False,0.0,LOW_FACE_CONFIDENCE
326,-1,False,False,0.0,LOW_FACE_CONFIDENCE
327,-1,False,False,0.0,LOW_FACE_CONFIDENCE
328,-1,False,False,0.0,LOW_FACE_CONFIDENCE
329,-1,False,False,0.0,LOW_FACE_CONFIDENCE
330,-1,False,False,0.0,LOW_FACE_CONFIDENCE
331,-1,False,False,0.0,LOW_FACE_CONFIDENCE
332,-1,False,False,0.0,LOW_FACE_CONFIDENCE
333,-1,False,False,0.0,LOW_FACE_CONFIDENCE
334,-1,False,False,0.0,LOW_FACE_CONFIDENCE
335,-1,False,False,0.0,LOW_FACE_CONFIDENCE
336,-1,False,False,0.0,LOW_FACE_CONFIDENCE
337,-1,False,False,0.0,LOW_FACE_CONFIDENCE
338,-1,False,False,0.0,LOW_FACE_CONFIDENCE
339,-1,False,False,0.0,LOW_FACE_CONFIDENCE
340,-1,False,False,0.0,LOW_FACE_CONFIDENCE
341,-1,False,False,0.0,LOW_FACE_CONFIDENCE
342,-1,False,False,0.0,LOW_FACE_CONFIDENCE
343,-1,False,False,0.0,LOW_FACE_CONFIDENCE
344,-1,False,False,0.0,LOW_FACE_CONFIDENCE
345,-1,False,False,0.0,LOW_FACE_CONFIDENCE
346,-1,False,False,0.0,LOW_FACE_CONFIDENCE
347,-1,False,False,0.0,LOW_FACE_CONFIDENCE
348,-1,False,False,0.0,LOW_FACE_CONFIDENCE
349,-1,False,False,0.0,LOW_FACE_CONFIDENCE
350,-1,False,False,0.0,LOW_FACE_CONFIDENCE
351,-1,False,False,0.0,LOW_FACE_CONFIDENCE
352,-1,False,False,0.0,LOW_FACE_CONFIDENCE
353,-1,False,False,0.0,LOW_FACE_CONFIDENCE
354,-1,False,False,0.0,LOW_FACE_CONFIDENCE
355,-1,False,False,0.0,LOW_FACE_CONFIDENCE
356,-1,False,False,0.0,LOW_FACE_CONFIDENCE
357,-1,False,False,0.0,LOW_FACE_CONFIDENCE
358,-1,False,False,0.0,LOW_FACE_CONFIDENCE
359,-1,False,False,0.0,LOW_FACE_CONFIDENCE
360,-1,False,False,0.0,LOW_FACE_CONFIDENCE
361,-1,False,False,0.0,LOW_FACE_CONFIDENCE
362,-1,False,False,0.0,LOW_FACE_CONFIDENCE
363,-1,False,False,0.0,LOW_FACE_CONFIDENCE
364,-1,False,False,0.0,LOW_FACE_CONFIDENCE
365,-1,False,False,0.0,LOW_FACE_CONFIDENCE
366,-1,False,False,0.0,LOW_FACE_CONFIDENCE
367,-1,False,False,0.0,LOW_FACE_CONFIDENCE
368,-1,False,False,0.0,LOW_FACE_CONFIDENCE
369,-1,False,False,0.0,LOW_FACE_CONFIDENCE
370,-1,False,False,0.0,LOW_FACE_CONFIDENCE
371,-1,False,False,0.0,LOW_FACE_CONFIDENCE
372,-1,False,False,0.0,LOW_FACE_CONFIDENCE
373,-1,False,False,0.0,LOW_FACE_CONFIDENCE
